Course,Category,Event,Time,Record Type,Swimmer,Club/Nation,Date,Meet,Location
Long Course,Women,4x200m freestyle relay,8:31.71,,"Sendo Ayari, Sarra Lajnef, Maroua Mathlouthi, Zaineb Khalfallah",Tunisia,13 September 2010,African Championships,"Casablanca, Morocco"
Long Course,Women,4x100m medley relay,4:21.49,,"Rim Ouennich, (1:05.63), Habiba Belghith, (1:14.19), Ines Barbouch, (1:04.10), Farah Benkhelil, (57.57)",Tunisia,14 July 2018,Arab Championships,"Rades, Tunisia"
Long Course,Mixed Relay,4x100m freestyle relay,3:38.90,,"Mohamed Aziz Ghaffari, (50.99), Rim Ouennich, (59.04), Farah Ben Khelil, (58.61), Mehdi Lagili, (50.26)",Tunisia,12 July 2018,Arab Championships,"Rades, Tunisia"
Long Course,Mixed Relay,4x100m medley relay,4:03.41,,"Rim Ouennich, (1:05.37), Wassim Elloumi, (1:02.96), Asma Sammoud, (1:03.60), Mohamed Mehdi Laagili, (51.48)",Tunisia,10 September 2015,African Games,"Brazzaville, Republic of the Congo"
Short Course,Men,50m freestyle,22.83,,Ahmed Mathlouthi,,27 December 2009,Tunisian Winter Championships,"Tunis, Tunisia"
Short Course,Men,100m freestyle,48.87,,Oussama Mellouli,,17 December 2005,,"Mennecy, United States"
Short Course,Men,200m freestyle,1:42.02,,Oussama Mellouli,Tunisia,15 December 2010,World Championships,"Dubai, United Arab Emirates"
Short Course,Men,400m freestyle,3:36.75,AF,Oussama Mellouli,Tunisia,15 November 2008,World Cup,"Berlin, Germany"
Short Course,Men,800m freestyle,7:31.93,AF,Ahmed Jaouadi,Tunisia,14 December 2024,World Championships,"Budapest, Hungary"
Short Course,Men,1500m freestyle,14:10.94,AF,Ahmed Hafnaoui,Tunisia,21 December 2021,World Championships,"Abu Dhabi, United Arab Emirates"
Short Course,Men,50m backstroke,25.42,,Oussama Mellouli,,27 December 2011,Tunisian Winter Championships,"Tunis, Tunisia"
Short Course,Men,100m backstroke,52.55,,Oussama Mellouli,,29 December 2011,Tunisian Winter Championships,"Tunis, Tunisia"
Short Course,Men,200m backstroke,1:54.80,,Mohamed-Yassine Ben Abbes,Grenoble Alp'38,23 October 2025,French Championships,"Taverny, France"
Short Course,Men,50m breaststroke,27.34,sf,Adnane Beji,University of Nevada,18 October 2024,UNLV vs Simon Fraser Dual Meet,"Las Vegas, United States"
Short Course,Men,100m breaststroke,59.55,,Adnane Beji,Vojvodina,8 November 2020,Mladost Meet,"Zagreb, Croatia"
Short Course,Men,200m breaststroke,2:09.62,,Adnane Beji,Tunisia,13 December 2019,French Championships,"Angers, France"
Short Course,Men,50m butterfly,24.25,,Oussama Mellouli,,28 December 2011,Tunisian Winter Championships,"Tunis, Tunisia"
Short Course,Men,100m butterfly,53.16,h,Émile Fouzaï,ZPC Amersfoort,21 December 2024,Dutch Championships,"Den Haag, Netherlands"
Short Course,Men,200m butterfly,1:57.69,,Émile Fouzaï,ZPC Amersfoort,20 December 2024,Dutch Championships,"Den Haag, Netherlands"
Short Course,Men,100m individual medley,52.78,,Oussama Mellouli,Tunisia,11 November 2008,World Cup,"Stockholm, Sweden"
Short Course,Men,200m individual medley,1:52.41,,Oussama Mellouli,Tunisia,16 November 2008,World Cup,"Berlin, Germany"
Short Course,Men,400m individual medley,3:57.40,AF,Oussama Mellouli,Trojan Swim Club,16 December 2010,World Championships,"Dubai, United Arab Emirates"
Short Course,Men,4x100m freestyle relay,3:20:12,,"Mohamed Ayoub Hafnaoui, Mohamed Mahdi Laajili, Mohamed Aziz Ghaffari, Mohamed Ali Chouachi",Tunisia,29 December 2011,Tunisian Winter Championships,"Tunis, Tunisia"
Short Course,Men,4x200m freestyle relay,7:08:32,,"Mohamed Ayoub Hafnaoui, Mohamed Mahdi Laajili, Mohamed Aziz Ghaffari, Mohamed Ali Chouachi",Tunisia,28 December 2019,Tunisian Winter Championships,"Tunis, Tunisia"
Short Course,Men,4x100m medley relay,3:34.04,,,Tunisia,30 December 2011,Tunisian Winter Championships,"Tunis, Tunisia"
Short Course,Women,50m freestyle,26.12,,Senda Gharbi,Tunisia,1989,,"Tunis, Tunisia"
Short Course,Women,100m freestyle,56.36,,Senda Gharbi,Tunisia,1987,,"Tunis, Tunisia"
Short Course,Women,200m freestyle,2:01.83,,Maroua Mathlouthi,Tunisia,13 April 2008,World Championships,"Manchester, United Kingdom"
Short Course,Women,400m freestyle,4:16.09,,Jamila Boulakbeche,Martigues Natation,26 October 2025,French Championships,"Taverny, France"
Short Course,Women,800m freestyle,8:40.47,,Jamila Boulakbeche,Martigues Natation,25 October 2025,French Championships,"Taverny, France"
Short Course,Women,1500m freestyle,16:30.18,,Jamila Boulakbeche,Martigues Natation,23 October 2025,French Championships,"Taverny, France"
Short Course,Women,50m backstroke,29.47,,Rim Oueniche,,27 December 2019,Tunisian Winter Championships,"Tunis, Tunisia"
Short Course,Women,100m backstroke,1:02.24,,Leslie Belkacemi,EST,25 December 2018,Tunisian Winter Championships,"El Menzah, Tunisia"
Short Course,Women,200m backstroke,2:16.60,,Maroua Mathlouthi,,25 December 2008,Tunisian Winter Championships,"Tunis, Tunisia"
Short Course,Women,50m breaststroke,31.78,,Sarra Lajnef,,29 December 2009,Tunisian Winter Championships,"Tunis, Tunisia"
Short Course,Women,100m breaststroke,1:08.10,,Habiba Belghith,Olympica,25 December 2025,Tunisian Winter Championships,"Tunis, Tunisia"
Short Course,Women,200m breaststroke,2:28.13,,Sarra Lajnef,,30 December 2009,Tunisian Winter Championships,"Tunis, Tunisia"
Short Course,Women,50m butterfly,28.35,,Ines Barbouch,Mouettes De Paris,24 October 2021,National Meeting of Autumn Paris,"Paris, France"
Short Course,Women,100m butterfly,1:02.35,,Mariem Meddeb,,4 December 2009,,"Chartres, France"
Short Course,Women,200m butterfly,2:18.30,,Mariem Meddeb,,16 January 2005,,"Dunkerque, France"
Short Course,Women,100m individual medley,1:03.20,h,Sarra Lajnef,Tunisia,16 December 2010,World Championships,"Dubai, United Arab Emirates"
Short Course,Women,200m individual medley,2:13.76,h,Sarra Lajnef,Tunisia,18 December 2010,World Championships,"Dubai, United Arab Emirates"
Short Course,Women,400m individual medley,4:45.40,h,Sarra Lajnef,Tunisia,15 December 2010,World Championships,"Dubai, United Arab Emirates"
Short Course,Women,4x100m freestyle relay,3:59.57,,,Tunisia,29 December 2011,Tunisian Winter Championships,"Tunis, Tunisia"
Short Course,Women,4x200m freestyle relay,8:38.15,,,Tunisia,28 December 2011,Tunisian Winter Championships,"Tunis, Tunisia"
Short Course,Women,4x100m medley relay,4:23.71,,,Tunisia,29 December 2009,Tunisian Winter Championships,"Tunis, Tunisia"
