Course,Category,Event,Time,Record Type,Swimmer,Club/Nation,Date,Meet,Location
Short Course,Men,4x200m freestyle relay,7:31.38,h,"Hussein Medhat, (1:50.67), Mohamed Maher, (1:53.19), Mohamed Gadallah, (1:54.69), Abdel El-Badrawy, (1:52.83)",Egypt,10 April 2008,World Championships,"Manchester, United Kingdom"
Short Course,Men,10x25m freestyle relay,1:57.31,,,,2005,,
Short Course,Men,4x50m medley relay,1:32.56,AF,"Mohamed Samy, (23.68), Youssef Elkamash, (26.32), Youssef Ramadan, (22.12), Abdelrahman Sameh, (20.44)",Egypt,20 December 2021,World Championships,"Abu Dhabi, United Arab Emirates"
Short Course,Men,4x100m medley relay,3:30.83,"h, AF","Mohamed Samy, (52.55), Youssef Elkamash, (59.71), Youssef Ramadan, (50.89), Abdelrahman Sameh, (47.68)",Egypt,21 December 2021,World Championships,"Abu Dhabi, United Arab Emirates"
Short Course,Women,50m freestyle,24.37,AF,Farida Osman,LA Current,20 December 2019,International Swimming League,"Las Vegas, United States"
Short Course,Women,100m freestyle,54.42,h,Farida Osman,Egypt,17 December 2021,World Championships,"Abu Dhabi, United Arab Emirates"
Short Course,Women,200m freestyle,1:59.23,,Rania Elwani,Egypt,19 March 1994,World Cup,"Gelsenkirchen, Germany"
Short Course,Women,400m freestyle,4:24.32,†,Reem Kassem,Egypt,17 October 2013,World Cup,"Dubai, United Arab Emirates"
Short Course,Women,800m freestyle,8:54.21,,Reem Kassem,Egypt,17 October 2013,World Cup,"Dubai, United Arab Emirates"
Short Course,Women,50m backstroke,28.12,,Samiha Mohsen,Toronto Swim Club,24 March 2022,Canadian University Championships,"Quebec City, Canada"
Short Course,Women,100m backstroke,1:01.01,,Samiha Mohsen,University Of Calgary Varsity,24 November 2019,Canada West Championships,"Lethbridge, Canada"
Short Course,Women,200m backstroke,2:15.85,h,Samiha Mohsen,Egypt,30 October 2022,World Cup,"Toronto, Canada"
Short Course,Women,50m breaststroke,32.75,,Salma Zienhom,Egypt,18 January 2003,World Cup,"Paris, France"
Short Course,Women,100m breaststroke,1:09.45,,Salma Zienhom,Egypt,17 January 2003,World Cup,"Paris, France"
Short Course,Women,200m breaststroke,2:28.97,,Salma Zienhom,Egypt,18 January 2003,World Cup,"Paris, France"
Short Course,Women,50m butterfly,25.31,AF,Farida Osman,LA Current,17 November 2019,International Swimming League,"College Park, United States"
Short Course,Women,100m butterfly,56.46,AF,Farida Osman,LA Current,20 December 2019,International Swimming League,"Las Vegas, United States"
Short Course,Women,200m butterfly,2:23.07,,-,,2011,,
Short Course,Women,100m individual medley,1:05.37,h,Mai Mostafa,Egypt,18 October 2013,World Cup,"Dubai, United Arab Emirates"
Short Course,Women,200m individual medley,2:21.19,,-,,2011,,
Short Course,Women,4x50m freestyle relay,1:55.92,,,,2001,,"Cairo, Egypt"
Short Course,Women,4x100m freestyle relay,4:10.64,,,,1999,,
Short Course,Women,10x25m freestyle relay,2:19.00,,,,2003,,
Short Course,Women,4x50m medley relay,2:08.16,,,,2008,,
