Course,Category,Event,Time,Record Type,Swimmer,Club/Nation,Date,Meet,Location
Short Course,Men,100m breaststroke,55.61,,Cameron van der Burgh,South Africa,15 November 2009,World Cup,"Berlin, Germany"
Short Course,Men,200m breaststroke,2:02.56,,Neil Versfeld,South Africa,14 November 2009,World Cup,"Berlin, Germany"
Short Course,Men,50m butterfly,21.87,,Roland Schoeman,South Africa,14 November 2009,World Cup,"Berlin, Germany"
Short Course,Men,100m butterfly,48.08,CR,Chad le Clos,South Africa,8 December 2016,World Championships,"Windsor, Canada"
Short Course,Men,200m butterfly,1:48.27,,Chad le Clos,South Africa,15 December 2022,World Championships,"Melbourne, Australia"
Short Course,Men,100m individual medley,51.05,CR,Gerhard Zandberg,South Africa,14 November 2009,World Cup,"Berlin, Germany"
Short Course,Men,200m individual medley,1:50.15,CR,Matthew Sates,South Africa,13 December 2022,World Championships,"Melbourne, Australia"
Short Course,Men,400m individual medley,3:57.40,,Oussama Mellouli,Tunisia,16 December 2010,World Championships,"Dubai, United Arab Emirates"
Short Course,Men,4x50m freestyle relay,1:24.14,,"Brad Tandy, (21.22), Chad le Clos, (20.31), Douglas Erasmus, (21.29), Ryan Coetzee, (21.32)",South Africa,14 December 2018,World Championships,"Hangzhou, China"
Short Course,Men,4x100m freestyle relay,3:12.87,h,"Leith Shankland, (48.05), Clayton Jimmie, (47.89), Calvyn Justus, (48.32), Myles Brown, (48.61)",South Africa,3 December 2014,World Championships,"Doha, Qatar"
Short Course,Men,4x200m freestyle relay,6:52.13,,"Myles Brown, (1:43.45), Sebastien Rousseau, (1:43.96), Chad le Clos, (1:40.61), Leith Shankland, (1:44.31)",South Africa,4 December 2014,World Championships,"Doha, Qatar"
Short Course,Men,4x50m medley relay,1:32.56,,"Mohamed Samy, (23.68), Youssef Elkamash, (26.32), Youssef Ramadan, (22.12), Abdelrahman Sameh, (20.44)",Egypt,20 December 2021,World Championships,"Abu Dhabi, United Arab Emirates"
Short Course,Men,4x100m medley relay,3:30.83,h,"Mohamed Samy, (52.55), Youssef Elkamash, (59.71), Youssef Ramadan, (50.89), Abdelrahman Sameh, (47.68)",Egypt,21 December 2021,World Championships,"Abu Dhabi, United Arab Emirates"
Short Course,Women,50m freestyle,24.14,h,Caitlin De Lange,South Africa,14 December 2024,World Championships,"Budapest, Hungary"
Short Course,Women,100m freestyle,52.70,sf,Erin Gallagher,South Africa,12 December 2018,World Championships,"Hangzhou, China"
Short Course,Women,200m freestyle,1:54.13,,Aimee Canny,South Africa,18 October 2024,Virginia vs Florida Dual Meet,"Charlottesville, United States"
Short Course,Women,400m freestyle,4:03.50,,Melissa Corfe,South Africa,11 April 2008,World Championships,"Manchester, United Kingdom"
Short Course,Women,800m freestyle,8:22.05,,Jessica Pengelly,South Africa,4 November 2011,World Cup,"Singapore, Singapore"
Short Course,Women,1500m freestyle,16:09.12,,Stephanie Houtman,South Africa,13 December 2024,World Championships,"Budapest, Hungary"
Short Course,Women,50m backstroke,26.85,=,Kirsty Coventry,Zimbabwe,13 April 2008,World Championships,"Manchester, United Kingdom"
Short Course,Women,50m backstroke,26.85,=,Jessica Thompson,South Africa,26 September 2025,South African Championships,"Pietermaritzburg, South Africa"
Short Course,Women,100m backstroke,56.56,,Chanelle Van Wyk,South Africa,15 November 2009,World Cup,"Berlin, Germany"
Short Course,Women,200m backstroke,2:00.91,,Kirsty Coventry,Zimbabwe,11 April 2008,World Championships,"Manchester, United Kingdom"
Short Course,Women,50m breaststroke,29.09,,Lara van Niekerk,South Africa,18 December 2022,World Championships,"Melbourne, Australia"
Short Course,Women,100m breaststroke,1:03.89,,Tatjana Schoenmaker,South Africa,25 October 2020,South African Championships,"Pietermaritzburg, South Africa"
Short Course,Women,200m breaststroke,2:18.02,,Tatjana Schoenmaker,South Africa,26 October 2020,South African Championships,"Pietermaritzburg, South Africa"
Short Course,Women,50m butterfly,25.31,,Farida Osman,Egypt,17 November 2019,International Swimming League,"College Park, United States"
Short Course,Women,100m butterfly,56.46,,Farida Osman,Egypt,20 December 2019,International Swimming League,"Las Vegas, United States"
Short Course,Women,200m butterfly,2:04.24,,Mandy Loots,South Africa,21 November 2009,World Cup,"Singapore, Singapore"
Short Course,Women,100m individual medley,57.69,sf,Rebecca Meder,South Africa,12 December 2024,World Championships,"Budapest, Hungary"
Short Course,Women,200m individual medley,2:05.56,,Rebecca Meder,South Africa,12 October 2025,World Cup,"Carmel, United States"
Short Course,Women,400m individual medley,4:22.88,,Katheryn Meaklim,South Africa,21 November 2009,World Cup,"Singapore, Singapore"
Short Course,Women,4x50m freestyle relay,1:40.80,h,"Caitlin De Lange, (24.33), Rebecca Meder, (25.14), Emily Visagie, (26.08), Milla Drakopoulos, (25.25)",South Africa,15 December 2022,World Championships,"Melbourne, Australia"
Short Course,Women,4x100m freestyle relay,3:41.57,h,"Milla Drakopoulos, (56.97), Caitlin De Lange, (53.33), Emily Visagie, (57.08), Rebecca Meder, (54.19)",South Africa,13 December 2022,World Championships,"Melbourne, Australia"
Short Course,Women,4x200m freestyle relay,8:02.49,h,"Karin Prinsloo, (1:58.41), Michelle Weber, (2:02.84), Kyna Pereira, (2:00.99), Jessica Pengelly, (2:00.25)",South Africa,12 December 2012,World Championships,"Istanbul, Turkey"
Short Course,Women,4x50m medley relay,1:52.16,h,"Erin Gallagher, (28.26), Tatjana Schoenmaker, (32.06), Trudi Maree, (27.04), Lehesta Kemp, (24.80)",South Africa,5 December 2014,World Championships,"Doha, Qatar"
Short Course,Women,4x100m medley relay,3:57.68,h,"Milla Drakopoulos, (59.32), Lara van Niekerk, (1:06.13), Rebecca Meder, (57.20), Jessica Thompson, (55.03)",South Africa,15 December 2024,World Championships,"Budapest, Hungary"
